Wall time,Step,Value
1599473367.5585248,46734,-36323.3984375
1599473379.020703,51478,-27684.80078125
1599473418.767165,67360,-17881.19921875
1599473427.892029,70914,-12130.7998046875
1599473444.234294,77144,-8480.7998046875
1599473451.936665,80172,-8670.7998046875
1599473459.346287,83192,-8150.60009765625
1599473474.705018,89253,-8400.5
1599473481.783574,92051,-6790.10009765625
1599473491.411412,95895,-17970.5
1599473501.5110762,99844,-19901.5
1599473531.2574239,112116,-3950.0
1599473593.187518,136613,-3810.0
1599473599.913159,139295,-5310.39990234375
1599473613.0829692,144457,-3330.0
1599473634.994101,152221,-3000.10009765625
1599473642.805059,154840,-4340.7001953125
1599473663.965191,162411,-2300.0
1599473680.151361,167745,-2220.199951171875
1599473686.847887,170477,-4020.5
1599473700.277992,175638,-3030.199951171875
1599473715.570254,180828,-2250.10009765625
1599473722.8952398,183514,-3350.0
1599473748.406115,193136,-4710.5
1599473758.108962,196945,-13310.0
1599473770.8649821,201951,-27601.099609375
1599473778.648851,204964,-5990.10009765625
1599473785.966947,207936,-5560.0
1599473804.710337,215529,-2890.0
1599473810.903441,218095,-3430.400146484375
1599473823.511571,223244,-1860.0
1599473835.877933,228352,-2720.10009765625
1599473841.9536798,230883,-2150.0
1599473848.325863,233420,-1960.2000732421875
1599473854.9672918,236129,-4300.39990234375
1599473873.4480572,243703,-2230.0
1599473879.767309,246215,-2050.0
1599473885.998129,248728,-2080.0
1599473892.129141,251246,-2290.0
1599473904.769433,256339,-3080.60009765625
1599473926.13806,264265,-2000.0
1599473960.370135,277310,-600.0
1599473967.1911979,279848,-550.0
1599473973.0711858,282360,-450.0
1599473979.3244429,284876,-580.0
1599473985.4256,287454,-950.0
1599473991.7201731,289985,-530.0
1599474024.087428,302667,70.00000762939453
1599474077.255265,323168,-1110.0
1599474101.4467578,332023,-11330.2998046875
1599474108.646751,334542,-1010.0
1599474160.755129,352327,-820.0
1599474179.303242,359865,-1740.0
1599474194.046614,364988,-2140.0
1599474201.1448262,367723,-3000.0
1599474212.541409,371493,-13230.2001953125
1599474248.9931672,384083,-3980.0
1599474255.191607,386590,-340.0
1599474264.3745222,390418,-13950.2001953125
1599474284.833187,398844,-3850.0
1599474294.513046,402577,-12890.2001953125
1599474317.122524,411912,-2850.0
1599474342.736149,422126,-300.0
1599474356.366441,427174,-129.99998474121094
1599474369.048964,432284,-950.0
1599474375.208031,434792,-29.999990463256836
1599474381.716683,437300,-89.99999237060547
1599474388.038778,439815,60.000003814697266
1599474400.9224498,445100,-239.99998474121094
1599474413.9804559,450171,-560.0
1599474431.727932,456526,-13340.2001953125
1599474454.7017689,464976,-2160.199951171875
1599474463.05432,467927,-4280.0
1599474469.956523,470507,-730.0
1599474485.464881,476342,-8570.099609375
1599474494.7021902,479664,-8350.099609375
1599474502.180945,482531,-3510.0
1599474521.2175438,490139,140.0
1599474534.805183,495709,-2480.0
1599474541.504168,498219,70.00000762939453
1599474557.2327218,503983,-4930.10009765625
1599474563.858728,506494,40.00000762939453
1599474586.54425,515224,-7020.0
1599474619.147896,528503,100.0
1599474625.345351,531021,70.0
1599474631.768179,533545,-9.999996185302734
1599474643.781947,538552,220.0
1599474650.065929,541061,150.0
1599474662.3885062,546093,-790.0
1599474674.546695,551137,-2840.0
1599474680.7127318,553645,-4410.0
1599474686.821336,556243,-2780.0
1599474693.3738282,558850,-1560.0
1599474706.5686631,564092,-2020.0
1599474714.401737,566811,-2470.199951171875
1599474766.135125,586121,-220.0
1599474790.89293,596271,110.00000762939453
1599474815.816844,606365,-440.0
1599474822.1452858,608958,-1710.0
1599474828.796035,611651,-2590.39990234375
1599474854.439561,621730,-540.0
1599474861.471783,624406,-2750.10009765625
1599474874.0667899,629487,-200.0
1599474892.917376,637023,30.000003814697266
1599474899.295552,639578,-340.0
1599474918.873358,647111,-70.19999694824219
1599474926.026527,649614,170.0
1599474939.612111,654619,210.0
1599474946.215948,657121,230.0
1599474952.9761431,659636,-310.3999938964844
1599474966.83949,664664,-890.0
1599474973.511761,667164,-2180.0
1599474980.118358,669665,-620.0
1599474986.866545,672248,-990.0
1599474993.165117,674812,-700.0
1599475000.202519,677329,50.000003814697266
1599475019.1573918,684916,-280.0
1599475037.6341279,692578,-169.99998474121094
1599475062.533498,702618,50.00000762939453
1599475068.4175732,705119,130.0
1599475082.89434,710615,-5150.2998046875
1599475098.425898,717070,-14550.2001953125
1599475104.274266,719573,190.0
1599475136.7196531,733200,170.0
1599475155.376229,740729,110.0
1599475161.482718,743232,220.0
1599475167.58426,745738,190.0
1599475173.46808,748246,170.0
1599475185.417269,753260,180.0
1599475209.5753942,763334,-510.29998779296875
1599475221.5217988,768350,180.0
1599475233.779319,773449,-320.1000061035156
1599475247.033024,778941,-10.099995613098145
1599475277.49184,791556,-550.0999755859375
1599475289.2978182,796562,-510.0
1599475313.105506,806588,-660.0
1599475342.447755,819146,-450.1000061035156
1599475353.963634,824159,100.00000762939453
1599475359.922396,826691,-460.1000061035156
1599475377.483986,834227,240.0
1599475389.133128,839232,220.0
1599475395.132498,841733,240.0
1599475400.643517,844235,220.0
1599475414.7357771,850218,-9300.5
1599475420.462813,852719,160.0
1599475426.489378,855222,220.0
1599475449.987057,865378,220.0
1599475455.965705,867879,90.0
1599475467.4858491,872947,-1850.0
1599475485.055155,880459,160.0
1599475508.587026,890512,210.0
1599475514.206789,893013,240.0
1599475520.198085,895519,-200.0
1599475525.920127,898021,-1090.0
1599475543.786314,905791,-160.0
1599475561.542526,913296,-360.0
1599475567.1773062,915800,-450.0
1599475573.026528,918300,-140.0
1599475590.6292381,925873,-1840.0
1599475596.522283,928416,-1290.0999755859375
1599475608.2685812,933417,-69.99999237060547
1599475643.094757,948452,150.0
1599475658.818142,955223,-1020.0
1599475677.361519,963098,-770.0
1599475682.955312,965601,1.4230608940124512e-06
1599475694.960948,970663,-550.0
1599475700.659171,973170,10.000004768371582
1599475730.57321,985861,-1330.0999755859375
1599475736.248422,988363,200.0
1599475747.940534,993385,-440.0
1599475759.7858298,998519,-1220.0
1599475770.3195431,1003084,-22001.400390625
1599475779.382943,1007092,-17050.80078125
1599475796.8455129,1014610,10.000007629394531
1599475802.772892,1017141,-420.0
1599475809.883633,1020227,-6140.5
1599475829.501295,1028798,-3080.10009765625
1599475840.0605152,1033456,-22471.0
1599475856.822068,1040759,-15210.900390625
1599475862.948174,1043424,-1820.0999755859375
1599475876.619117,1049326,-49.999996185302734
1599475890.2784178,1055193,-3970.800048828125
1599475901.794213,1060223,-420.0
1599475907.785835,1062763,-770.2999877929688
1599475914.141124,1065402,-1510.0
1599475927.7051709,1071268,230.0
1599475933.407989,1073773,190.0
1599475952.6839411,1082080,210.0
1599475958.68737,1084583,200.0
1599475964.4094038,1087086,80.0
1599475970.386122,1089588,230.0
1599475985.061093,1096008,-7840.5
1599475991.635052,1098801,-2680.0
1599475997.328365,1101302,230.0
1599476003.238663,1103806,150.0
1599476055.880938,1126403,250.0
1599476061.497623,1128903,250.0
1599476073.171519,1133912,160.0
1599476090.677591,1141434,210.0
1599476131.95266,1159215,-220.1999969482422
1599476137.6206348,1161716,240.0
1599476161.8658292,1172088,-1680.9000244140625
1599476167.842922,1174590,230.0
1599476174.103308,1177278,-1630.0
1599476188.7515972,1183549,240.0
1599476201.258667,1188989,-440.0
1599476226.0334232,1199553,-320.1000061035156
1599476278.985999,1222307,-120.29999542236328
1599476285.247384,1224968,-1870.5
1599476290.8197381,1227472,-180.1999969482422
1599476296.765422,1229978,120.00000762939453
1599476308.40352,1235007,-460.3999938964844
1599476314.311618,1237511,-190.39999389648438
1599476332.270143,1245270,90.0
1599476350.769089,1253191,-920.0999755859375
1599476395.383699,1272198,160.0
1599476401.097449,1274698,250.0
1599476407.0727491,1277198,250.0
1599476412.645777,1279715,70.00000762939453
1599476424.624918,1284835,-950.0
1599476431.757772,1287842,-5320.2998046875
1599476437.9268951,1290510,-1660.0
1599476449.558694,1295551,-180.0
1599476455.547348,1298061,140.0
1599476461.1098602,1300568,180.0
1599476475.672801,1306833,-8190.39990234375
1599476488.20123,1312196,-900.0
1599476494.472071,1314832,-1240.0999755859375
1599476518.898356,1325379,60.000003814697266
1599476559.578284,1342966,130.0
1599476577.2453492,1350470,-830.0
1599476583.201269,1353074,-1090.0999755859375
1599476595.442025,1358252,-710.0
1599476607.0537431,1363260,100.00000762939453
1599476624.558235,1370860,-560.2999877929688
1599476691.1251142,1399465,-3410.0
1599476708.420796,1406971,180.0
1599476714.3910131,1409531,-430.0
1599476720.264151,1412069,-1050.9000244140625
1599476731.965068,1417087,-79.99999237060547
1599476744.121942,1422278,-49.999996185302734
1599476750.70663,1425026,-2730.5
1599476762.980684,1430385,-2850.199951171875
1599476793.74875,1443483,-1260.199951171875
1599476799.762012,1446065,-980.4000244140625
1599476836.751342,1461911,-710.0
1599476848.4332108,1467005,170.0
1599476854.4098198,1469519,100.00000762939453
1599476861.272606,1472415,-4290.2998046875
1599476867.814543,1475276,-4300.10009765625
1599476874.329824,1478062,-3040.10009765625
1599476880.313339,1480595,-99.99999237060547
1599476886.542568,1483271,-1530.0
1599476892.161104,1485776,140.0
1599476898.065734,1488277,220.0
1599476903.77614,1490781,190.0
1599476916.092936,1496002,-9.999999046325684
1599476935.2892108,1504337,-6780.2998046875
1599476942.101717,1507249,-4890.2001953125
1599476948.046813,1509817,-990.2999877929688
1599476960.5171762,1515023,-1110.5999755859375
1599476984.381579,1525330,-1030.199951171875
1599476996.359055,1530376,-960.2999877929688
1599477007.9018502,1535462,-640.0999755859375
1599477013.885171,1537967,190.0
1599477031.379006,1545486,210.0
1599477037.075325,1548006,-700.5
1599477043.056074,1550506,30.000003814697266
1599477054.697527,1555550,-190.09999084472656
1599477066.2883961,1560568,-119.99999237060547
1599477078.259538,1565675,-920.0999755859375
1599477090.080246,1570712,-470.0
1599477095.755282,1573212,-39.99999237060547
1599477113.2754948,1580740,-79.99999237060547
1599477124.9600582,1585769,-249.99998474121094
1599477130.944915,1588270,-260.0
1599477136.5091798,1590771,-330.0
1599477142.5185752,1593271,-39.999996185302734
1599477148.186635,1595772,-80.0
1599477154.156626,1598273,-200.0
1599477165.6662662,1603274,-199.99998474121094
1599477171.656176,1605774,60.000003814697266
1599477200.861873,1618358,-260.0
1599477206.5462358,1620860,-230.0
1599477218.30849,1625861,150.0
1599477224.009408,1628389,-650.0
1599477229.999805,1630958,-1520.0
1599477247.544234,1638519,-930.0999755859375
1599477259.551036,1643550,-960.0
1599477271.050703,1648587,-650.0
1599477283.014739,1653664,-500.1000061035156
1599477294.887834,1658785,-1910.199951171875
1599477306.5737238,1663794,-100.0
1599477312.282828,1666294,190.0
1599477318.3060338,1668804,150.0
1599477335.8431308,1676340,250.0
1599477359.658261,1686535,50.000003814697266
1599477366.1798248,1689350,-3000.10009765625
1599477378.3727229,1694648,-2250.0
1599477384.352213,1697159,-1600.699951171875
1599477395.8646889,1702162,-1110.0
1599477419.031841,1712224,120.0
1599477428.047028,1716160,-15111.0
1599477439.6578119,1721162,210.0
1599477451.2769768,1726171,210.0
1599477500.245017,1747638,-2090.0
1599477506.189225,1750164,-3380.0
1599477517.704949,1755213,-1830.0
1599477523.716641,1757736,-1220.300048828125
1599477529.737817,1760362,-2370.10009765625
1599477535.684324,1762888,-1670.300048828125
1599477541.594454,1765388,-610.0
1599477547.242867,1767893,-840.0999755859375
1599477559.02161,1772894,250.0
1599477565.0248132,1775395,230.0
1599477588.4475489,1785416,250.0
1599477594.3332841,1787918,230.0
1599477606.4957561,1793262,-3370.199951171875
1599477618.153631,1798264,240.0
1599477635.955679,1805841,240.0
1599477647.6010182,1810855,120.0
1599477653.1782389,1813358,220.0
1599477659.163141,1815859,230.0
1599477676.6992798,1823361,240.0
1599477682.282759,1825861,240.0
1599477688.280015,1828362,110.0
1599477693.946675,1830908,-230.0
1599477699.944793,1833414,180.0
1599477711.4588559,1838415,240.0
1599477717.430198,1840915,250.0
1599477723.1331499,1843418,220.0
1599477734.748074,1848419,240.0
1599477740.6143308,1850950,-560.5
1599477746.631402,1853457,-320.29998779296875
1599477752.283186,1855959,90.00000762939453
1599477758.263542,1858469,-600.0999755859375
1599477763.8584971,1860969,20.00000762939453
1599477775.473068,1865980,-320.0
1599477781.425633,1868481,90.0
1599477798.9706712,1876016,-350.0
1599477822.190194,1886043,-90.0
1599477839.802047,1893549,190.0
1599477845.470817,1896049,10.00000286102295
1599477851.372104,1898564,-29.9999942779541
1599477863.047193,1903588,-40.0
1599477868.986001,1906088,10.00000286102295
1599477874.569356,1908589,-270.0
1599477880.5157719,1911089,-150.0
1599477892.1594722,1916090,110.00000762939453
1599477897.814451,1918590,170.0
1599477903.647271,1921092,-69.99999237060547
1599477927.249595,1931250,-19.999996185302734
1599477953.3993258,1942279,-4720.2001953125
1599477959.0645041,1944783,99.9000015258789
1599477971.270056,1949996,-720.0
1599477976.989846,1952504,-640.2000122070312
1599477982.9803488,1955032,-1630.0
1599477988.9559119,1957532,-1360.0
1599477994.544919,1960033,-220.0
1599478000.530241,1962533,230.0
1599478018.4208581,1970216,230.0
1599478023.958812,1972717,210.0
1599478029.962482,1975218,240.0
1599478062.542988,1989187,-430.0
1599478074.081096,1994187,250.0
1599478080.01489,1996688,210.0
1599478086.377986,1999473,-3400.800048828125
1599478092.359843,2001983,49.90000534057617
1599478104.350083,2007101,-1010.0999755859375
1599478122.102968,2014652,110.00000762939453
1599478128.126553,2017154,170.0
1599478148.513837,2025732,-4830.39990234375
1599478154.483863,2028268,-340.1000061035156
1599478162.512146,2031528,-8601.2001953125
1599478174.436198,2036547,-240.1999969482422
1599478187.8695,2041685,-39.999996185302734
1599478206.721787,2049195,210.0
1599478212.643865,2051698,19.800003051757812
1599478225.091022,2056700,-120.0
1599478244.02968,2064241,100.0
1599478250.718752,2066803,-670.2999877929688
1599478257.118757,2069303,240.0
1599478269.267927,2074305,180.0
1599478275.98858,2076811,130.0
1599478282.282274,2079330,-29.999996185302734
1599478289.049411,2082009,-1870.0999755859375
1599478295.3203259,2084514,-460.0
1599478301.365036,2087031,-2301.300048828125
1599478311.494057,2091213,-19901.599609375
1599478336.3078709,2101320,-1640.0
1599478343.365241,2104295,-6960.39990234375
1599478367.983427,2114339,-2140.0
1599478373.929044,2116842,-1900.0
1599478385.952357,2121842,-980.0
1599478398.74564,2126860,-1410.0
1599478410.8714209,2131868,-2280.0
1599478418.638182,2135093,-8870.400390625
1599478424.590419,2137593,-940.0
1599478430.901886,2140121,-2310.5
1599478437.0946639,2142685,-2180.199951171875
1599478443.346067,2145190,-2660.199951171875
1599478455.4972951,2150216,-1420.0
1599478467.56418,2155238,-260.0
1599478479.9777112,2160287,-990.0
1599478497.996255,2167799,-990.0
1599478504.2131462,2170352,-1240.5999755859375
1599478510.866826,2172939,-1080.0999755859375
1599478516.712938,2175483,-450.0
1599478523.0231118,2178020,-670.0999755859375
1599478547.926,2188086,-139.99998474121094
1599478560.128605,2193086,-99.99998474121094
1599478566.403245,2195586,-99.99998474121094
1599478578.445728,2200588,-229.99998474121094
1599478596.547961,2208089,-29.999988555908203
1599478608.801141,2213090,-199.99998474121094
1599478614.9265091,2215591,-109.99998474121094
1599478620.834959,2218091,-149.99998474121094
1599478639.7509701,2225593,-19.999988555908203
1599478658.2557921,2233203,8.277595043182373e-06
1599478664.3677282,2235703,30.000009536743164
1599478676.81481,2240705,230.0
1599478689.099581,2245705,250.0
1599478701.5549529,2250707,210.0
1599478708.330893,2253366,-1340.0
1599478732.7605991,2263367,160.0
1599478744.788699,2268368,-330.0
1599478750.968313,2270868,-820.0
1599478757.128852,2273368,-1560.0
1599478763.480264,2275868,-950.0
1599478781.6124969,2283369,50.000003814697266
1599478794.072629,2288369,-160.0
1599478819.511578,2298522,-320.0
1599478833.8750951,2304257,-6330.2998046875
1599478841.04941,2306988,-2870.10009765625
1599478847.227558,2309489,-530.0
1599478853.597381,2311991,-69.99999237060547
1599478859.732218,2314492,60.00000762939453
1599478885.128292,2324493,-1780.0
1599478897.737615,2329795,-5180.10009765625
1599478904.629168,2332582,-3730.10009765625
1599478926.3575199,2341600,-10200.5
1599478932.560926,2344130,-1250.0
1599478939.956178,2347192,-6720.39990234375
1599478946.2725482,2349795,-1890.0
1599478952.508526,2352321,-1260.0
1599478967.260096,2358292,-3180.0
1599478973.443019,2360865,-1760.699951171875
1599478979.640864,2363418,-1260.4000244140625
1599478985.6236129,2365924,-710.4000244140625
1599478997.784296,2370931,190.0
1599479020.8250399,2380181,-530.0
1599479033.5188339,2385185,-1180.0
1599479039.685687,2387688,-670.0
1599479051.989732,2392689,-110.0
1599479058.3389492,2395189,-1310.0
1599479064.788387,2397690,-460.0
1599479077.136693,2402690,-610.0
1599479082.905791,2405201,-680.0
1599479095.306974,2410203,-140.0
1599479101.663809,2412703,-250.0
1599479144.142884,2430220,-9.999998092651367
1599479150.0812569,2432773,-1230.0
1599479155.714584,2435288,-290.0
1599479161.696466,2437791,-810.0
1599479167.404999,2440292,-450.0
1599479173.514626,2442792,-500.0
1599479179.802929,2445453,-2170.0
1599479191.618444,2450455,-80.0
1599479197.528842,2452957,-540.0
1599479203.6230989,2455458,-1210.0
1599479222.0238452,2462979,-230.0
1599479227.875535,2465482,180.0
1599479234.072921,2467984,220.0
1599479240.072886,2470485,230.0
1599479253.298978,2475490,180.0
1599479289.6660328,2490558,29.90000343322754
1599479296.227744,2493298,-2350.10009765625
1599479302.636872,2495799,200.0
1599479314.852711,2500844,-590.5999755859375
1599479339.6266408,2510915,-790.7000122070312
1599479359.0460181,2518834,-1170.0
1599479379.001492,2526336,220.0
1599479405.0647218,2536417,-870.0
1599479426.875366,2544126,-2250.39990234375
1599479434.009017,2546628,30.0
1599479441.240221,2549141,-310.3999938964844
1599479455.2639282,2554162,-620.0
1599479461.082058,2556664,-210.0
